year,district_code,district_name,births
2025,24,Enge,132
2025,31,Alt-Wiedikon,212
2025,33,Friesenberg,77
2025,34,Sihlfeld,249
2025,41,Werd,65
2025,42,Langstrasse,113
2025,44,Hard,113
2025,51,Gewerbeschule,89
2025,52,Escher Wyss,75
2025,61,Unterstrass,256
2025,63,Oberstrass,97
2025,71,Fluntern,80
2025,72,Hottingen,93
2025,73,Hirslanden,79
2025,74,Witikon,104
2025,81,Seefeld,54
2025,82,Mühlebach,65
2025,83,Weinegg,51
2025,91,Albisrieden,251
2025,92,Altstetten,423
2025,101,Höngg,214
2025,102,Wipkingen,178
2025,111,Affoltern,262
2025,115,Oerlikon,236
2025,119,Seebach,292
2025,121,Saatlen,69
2025,122,Schwamendingen-Mitte,108
2025,123,Hirzenbach,117
